2023-06-19 17:02:07 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 17:02:07 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-19 17:02:07 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 17:02:07 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-19 17:02:12 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-19 17:02:12 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-19 17:02:12 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 7.068 seconds (JVM running for 7.49)
2023-06-19 17:02:34 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-19 17:02:34 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-19 17:02:34 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-06-19 17:04:33 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-19 17:04:33 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 6b068407c80c with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-19 17:04:33 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-19 17:04:34 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=e45cfef8-d204-391b-a902-213cf762b805
2023-06-19 17:04:34 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-19 17:04:34 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-19 17:04:34 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-19 17:04:34 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-19 17:04:34 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-19 17:04:34 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1045 ms
